iso3,year,v2smgovdom,v2smpardom,v2smfordom,v2smgovab,v2smparab
MEX,2000,0.222,0.319,1.909,1.66,0.392
MEX,2001,0.222,0.319,1.909,1.66,0.392
MEX,2002,0.222,0.319,1.909,1.66,0.392
MEX,2003,0.222,0.319,1.909,1.66,0.392
MEX,2004,0.222,0.319,1.909,1.66,0.392
MEX,2005,0.222,0.319,1.909,1.66,0.392
MEX,2006,0.2,0.319,1.909,1.66,0.392
MEX,2007,-0.059,0.319,1.379,1.507,0.392
MEX,2008,0.05,0.143,1.379,1.507,0.392
MEX,2009,0.05,0.316,1.379,1.507,0.22
MEX,2010,0.05,0.144,1.077,1.364,0.22
MEX,2011,-0.063,-0.03,1.418,1.364,0.22
MEX,2012,-0.192,-0.097,1.418,1.364,0.017
MEX,2013,-0.408,-0.316,1.418,1.244,0.024
MEX,2014,-0.408,-0.316,1.418,1.244,-0.153
MEX,2015,-0.408,-0.316,1.418,1.244,-0.153
MEX,2016,-0.408,-0.316,1.418,1.244,0.012
MEX,2017,-0.408,-0.316,1.285,1.244,-0.155
MEX,2018,-0.293,-0.534,1.145,1.345,-0.153
MEX,2019,-1.388,-1.516,1.001,1.094,-0.903
MEX,2020,-1.768,-1.516,1.867,1.208,-0.968
MEX,2021,-1.675,-1.203,1.961,0.629,-1.212
MEX,2022,-1.557,-1.332,1.35,0.629,-1.301
MEX,2023,-1.593,-1.189,1.35,0.551,-1.301
MEX,2024,-1.833,-1.576,0.544,0.676,-2.032
MEX,2025,-1.179,-1.133,0.544,1.291,-1.231
SUR,2000,0.758,0.721,1.048,1.129,1.484
SUR,2001,0.758,0.721,1.048,1.129,1.484
SUR,2002,0.758,0.721,1.048,1.129,1.484
SUR,2003,0.758,0.721,1.048,1.129,1.484
SUR,2004,0.758,0.721,1.048,1.129,1.484
SUR,2005,0.758,0.721,1.048,1.129,1.484
SUR,2006,0.758,0.721,1.048,1.129,1.484
SUR,2007,0.758,0.721,1.048,1.129,1.484
SUR,2008,0.758,0.721,1.048,1.129,1.484
SUR,2009,0.758,0.721,1.048,1.129,1.484
SUR,2010,0.569,0.721,1.048,1.129,1.484
SUR,2011,0.569,0.721,1.048,1.129,1.484
SUR,2012,0.569,0.721,1.048,1.129,1.484
SUR,2013,0.569,0.721,1.048,1.129,1.484
SUR,2014,0.569,0.721,1.048,1.129,1.484
SUR,2015,0.569,0.721,1.048,1.129,1.484
SUR,2016,0.569,0.721,1.048,1.129,1.484
SUR,2017,0.569,0.721,1.048,1.129,1.484
SUR,2018,0.569,0.721,1.048,1.129,1.484
SUR,2019,0.569,1.555,1.048,1.129,1.484
SUR,2020,0.841,1.423,1.526,1.052,0.988
SUR,2021,0.841,1.229,1.045,1.192,0.996
SUR,2022,0.841,1.229,0.629,1.192,0.817
SUR,2023,0.525,0.539,0.629,0.858,0.817
SUR,2024,0.994,0.539,0.629,0.858,0.817
SUR,2025,0.994,-0.363,0.629,0.858,0.817
SWE,2000,2.42,2.708,0.263,2.361,1.829
SWE,2001,2.42,2.708,0.263,2.361,1.829
SWE,2002,2.42,2.708,0.263,2.361,1.829
SWE,2003,2.42,2.708,0.263,2.361,1.829
SWE,2004,2.42,2.708,0.263,2.361,1.829
SWE,2005,2.42,2.708,0.263,2.361,1.829
SWE,2006,2.42,2.708,0.263,2.361,1.829
SWE,2007,2.42,2.708,0.263,2.361,1.829
SWE,2008,2.42,2.708,0.263,2.361,1.829
SWE,2009,2.42,2.708,0.263,2.361,1.829
SWE,2010,2.42,2.708,0.263,2.361,1.829
SWE,2011,2.42,2.708,0.263,2.361,1.829
SWE,2012,2.42,2.708,0.263,2.361,1.829
SWE,2013,2.42,2.708,0.263,2.361,1.829
SWE,2014,2.42,2.708,0.263,2.361,1.829
SWE,2015,2.42,2.708,0.263,2.361,1.829
SWE,2016,2.42,2.708,0.263,2.361,1.829
SWE,2017,2.42,2.708,0.263,2.361,1.829
SWE,2018,1.959,2.708,0.263,2.361,1.829
SWE,2019,1.959,2.074,0.347,2.361,1.829
SWE,2020,2.531,2.762,0.45,2.361,1.829
SWE,2021,2.531,2.276,0.45,2.361,1.581
SWE,2022,2.531,2.276,0.45,2.361,1.581
SWE,2023,2.531,2.276,0.45,2.361,1.581
SWE,2024,2.531,1.696,0.232,2.361,1.581
SWE,2025,2.531,1.696,0.232,2.361,1.581
CHE,2000,2.537,1.697,2.504,2.69,1.903
CHE,2001,2.537,1.697,2.504,2.69,1.903
CHE,2002,2.537,1.697,2.504,2.69,1.903
CHE,2003,2.537,1.697,2.504,2.69,1.903
CHE,2004,2.537,1.697,2.504,2.69,1.903
CHE,2005,2.537,1.697,2.504,2.69,1.903
CHE,2006,2.537,1.697,2.504,2.69,1.903
CHE,2007,2.537,1.697,2.504,2.69,1.903
CHE,2008,2.537,1.697,2.504,2.69,1.903
CHE,2009,2.537,1.697,2.504,2.69,1.903
CHE,2010,2.537,1.697,2.504,2.69,1.903
CHE,2011,2.537,1.697,2.504,2.69,1.903
CHE,2012,2.537,1.377,2.504,2.69,1.903
CHE,2013,2.537,1.377,2.504,2.69,1.903
CHE,2014,2.537,1.377,2.504,2.69,1.903
CHE,2015,2.537,1.377,2.504,2.69,1.903
CHE,2016,2.537,1.377,2.504,2.69,1.903
CHE,2017,2.537,1.377,2.504,2.69,2.445
CHE,2018,2.537,1.377,2.504,2.69,2.445
CHE,2019,2.537,1.377,2.504,2.69,2.445
CHE,2020,2.365,1.213,2.348,2.69,2.445
CHE,2021,2.534,1.361,2.348,2.69,2.445
CHE,2022,2.534,1.361,2.706,2.69,2.445
CHE,2023,2.534,1.361,2.706,2.69,2.445
CHE,2024,2.534,1.361,2.706,2.69,2.445
CHE,2025,2.534,1.361,1.535,2.69,2.445
GHA,2000,1.636,1.424,1.902,1.077,1.396
GHA,2001,1.948,1.424,1.902,1.364,1.597
GHA,2002,1.948,1.424,1.902,1.364,1.597
GHA,2003,1.948,1.424,1.902,1.766,1.597
GHA,2004,1.948,1.424,1.902,1.766,1.597
GHA,2005,1.948,1.424,1.902,1.766,1.597
GHA,2006,2.354,1.424,1.902,1.766,1.597
GHA,2007,2.354,1.424,1.902,1.766,1.597
GHA,2008,1.434,0.96,1.902,1.766,1.488
GHA,2009,1.434,0.96,1.902,1.766,1.488
GHA,2010,1.714,0.96,1.902,1.766,1.496
GHA,2011,1.714,1.085,1.902,1.353,1.496
GHA,2012,1.429,1.085,1.806,1.353,1.496
GHA,2013,1.429,0.503,1.806,1.353,1.496
GHA,2014,0.721,0.503,1.806,1.353,1.496
GHA,2015,0.721,0.503,1.806,1.353,1.496
GHA,2016,0.682,0.503,1.806,1.353,1.496
GHA,2017,0.682,0.503,1.806,0.795,1.496
GHA,2018,0.682,0.503,1.806,0.795,1.496
GHA,2019,1.729,0.503,1.711,0.725,0.94
GHA,2020,0.465,-0.029,1.539,0.654,0.94
GHA,2021,0.465,-0.029,1.428,0.545,1.026
GHA,2022,0.584,-0.029,1.428,0.545,0.981
GHA,2023,0.565,0.077,1.428,0.483,1.143
GHA,2024,1.194,0.077,1.428,0.483,1.143
GHA,2025,1.018,0.904,1.428,0.921,0.786
ZAF,2000,1.273,0.601,-0.017,1.564,0.171
ZAF,2001,1.273,0.601,-0.017,1.564,0.171
ZAF,2002,1.273,0.601,-0.017,1.564,0.171
ZAF,2003,1.273,0.601,-0.017,1.564,0.171
ZAF,2004,1.273,0.601,-0.017,1.564,0.171
ZAF,2005,1.273,0.601,-0.017,1.564,0.171
ZAF,2006,1.273,0.601,-0.017,1.408,0.171
ZAF,2007,1.273,0.601,-0.017,1.408,0.171
ZAF,2008,1.273,0.601,-0.017,1.408,0.171
ZAF,2009,0.792,0.326,-0.017,1.408,0.171
ZAF,2010,1.089,0.288,-0.017,1.52,0.326
ZAF,2011,1.035,0.288,-0.017,1.52,0.326
ZAF,2012,1.035,0.104,-0.336,1.369,0.118
ZAF,2013,1.035,0.104,-0.336,1.211,0.118
ZAF,2014,1.035,0.104,-0.413,1.211,0.118
ZAF,2015,1.035,0.104,-0.342,1.211,0.118
ZAF,2016,1.035,0.104,-0.142,1.211,0.118
ZAF,2017,1.035,0.104,-0.142,1.116,0.118
ZAF,2018,1.035,0.455,-0.142,1.639,0.118
ZAF,2019,1.277,0.67,-0.142,1.639,-0.107
ZAF,2020,1.277,0.483,-0.034,1.639,0.848
ZAF,2021,1.277,0.483,0.521,1.639,0.848
ZAF,2022,1.305,0.729,-0.026,1.196,0.848
ZAF,2023,1.305,0.729,-0.026,1.311,0.848
ZAF,2024,1.062,1.325,-0.026,1.311,0.536
ZAF,2025,1.062,1.47,-0.026,1.311,-0.143
JPN,2000,0.906,1.373,0.63,1.13,1.755
JPN,2001,0.906,1.373,0.63,1.13,1.755
JPN,2002,0.906,1.373,0.63,1.13,1.755
JPN,2003,0.906,1.373,0.63,1.13,1.755
JPN,2004,0.906,1.373,0.63,1.13,1.755
JPN,2005,0.906,1.373,0.63,1.13,1.755
JPN,2006,0.906,1.373,0.63,1.13,1.755
JPN,2007,0.906,1.373,0.63,1.13,1.755
JPN,2008,0.906,1.373,0.63,1.13,1.755
JPN,2009,0.906,1.373,0.63,1.13,1.755
JPN,2010,0.906,1.423,0.63,1.216,1.755
JPN,2011,0.707,1.423,0.63,1.216,1.755
JPN,2012,0.707,1.423,0.63,1.216,1.755
JPN,2013,0.707,1.423,0.63,1.216,1.755
JPN,2014,0.892,1.357,0.63,1.216,1.755
JPN,2015,0.892,1.357,0.63,1.216,1.755
JPN,2016,0.892,1.357,0.63,1.216,1.755
JPN,2017,0.892,1.357,0.49,1.216,1.755
JPN,2018,0.892,1.357,0.49,1.216,1.755
JPN,2019,0.836,1.008,-0.136,1.149,1.755
JPN,2020,0.836,1.39,-0.136,1.149,1.814
JPN,2021,0.836,1.39,-0.41,1.149,1.814
JPN,2022,0.836,1.39,-0.41,1.149,1.814
JPN,2023,0.836,1.39,-0.41,1.149,1.814
JPN,2024,1.06,1.209,-0.41,1.149,1.599
JPN,2025,0.962,1.209,-0.41,1.149,1.599
MMR,2000,-0.223,0.385,0.83,-0.663,-0.439
MMR,2001,-0.223,0.385,0.83,-0.364,-0.439
MMR,2002,-0.223,0.385,0.83,-0.364,-0.439
MMR,2003,-0.223,0.385,0.83,-0.364,-0.439
MMR,2004,-0.223,0.385,0.83,-0.364,-0.439
MMR,2005,-0.223,0.385,0.83,-0.364,-0.439
MMR,2006,-0.223,0.385,0.83,-0.668,-0.439
MMR,2007,-0.387,0.385,0.83,-0.362,-0.439
MMR,2008,-0.387,0.385,0.83,-0.362,-0.439
MMR,2009,-0.219,0.385,0.83,-0.362,-0.439
MMR,2010,-0.056,0.86,1.185,-0.028,-0.439
MMR,2011,-0.105,0.745,1.414,-0.39,-0.098
MMR,2012,-0.009,0.745,1.414,-0.39,-0.098
MMR,2013,-0.059,0.745,1.414,-0.39,-0.098
MMR,2014,0.079,0.975,1.414,-0.151,-0.098
MMR,2015,0.079,0.347,1.414,0.124,-0.706
MMR,2016,0.952,1.01,1.414,0.741,-0.075
MMR,2017,0.952,1.01,1.545,0.741,0.009
MMR,2018,0.952,1.01,1.545,0.741,0.009
MMR,2019,0.952,1.01,2.019,0.741,0.009
MMR,2020,0.816,0.376,1.605,0.597,-0.432
MMR,2021,-2.654,0.14,1.605,-2.572,-0.849
MMR,2022,-2.587,0.265,1.605,-2.572,-0.93
MMR,2023,-2.721,0.125,0.956,-2.646,-0.93
MMR,2024,-2.721,0.125,0.956,-2.22,-0.93
MMR,2025,-2.721,0.125,0.29,-2.22,-0.93
RUS,2000,0.265,0.918,1.693,0.616,-0.657
RUS,2001,0.265,0.918,1.693,0.616,-0.657
RUS,2002,0.265,0.773,1.693,0.616,-0.657
RUS,2003,0.265,0.773,1.693,0.118,-0.657
RUS,2004,0.015,0.773,1.693,0.118,-0.657
RUS,2005,0.015,0.502,1.693,0.118,-0.657
RUS,2006,0.015,0.502,1.511,0.118,-0.657
RUS,2007,-0.016,0.502,1.511,0.118,-0.657
RUS,2008,-0.333,-0.052,1.511,-0.645,-1.253
RUS,2009,-0.408,-0.351,1.511,-0.645,-1.365
RUS,2010,-0.408,-0.351,1.562,-0.645,-1.365
RUS,2011,-0.408,-0.351,1.692,-0.645,-1.365
RUS,2012,-1.665,-1.412,1.692,-0.995,-1.365
RUS,2013,-1.769,-1.757,1.692,-1.199,-1.502
RUS,2014,-1.899,-1.757,1.177,-1.809,-1.892
RUS,2015,-2.251,-1.757,1.177,-1.809,-2.123
RUS,2016,-2.515,-2.106,1.177,-1.809,-1.94
RUS,2017,-2.515,-2.106,1.177,-1.809,-2.147
RUS,2018,-2.515,-2.106,1.177,-1.809,-2.147
RUS,2019,-2.515,-2.106,1.177,-1.809,-2.147
RUS,2020,-2.515,-2.106,1.177,-1.809,-2.147
RUS,2021,-2.515,-2.106,1.177,-2.153,-2.147
RUS,2022,-3.166,-2.115,1.177,-2.409,-2.447
RUS,2023,-3.166,-2.306,0.442,-2.409,-2.721
RUS,2024,-3.166,-2.306,-0.053,-2.409,-2.721
RUS,2025,-2.728,-2.109,-0.242,-2.362,-2.442
ALB,2000,0.122,0.826,0.731,0.713,-1.65
ALB,2001,0.122,0.826,0.731,0.713,-1.65
ALB,2002,0.122,0.826,0.731,0.713,-1.65
ALB,2003,0.122,0.826,0.731,0.713,-1.65
ALB,2004,0.122,0.826,0.731,0.713,-1.65
ALB,2005,0.122,0.826,0.731,0.713,-1.65
ALB,2006,0.122,0.826,0.731,0.713,-1.65
ALB,2007,0.122,0.826,0.731,0.713,-1.65
ALB,2008,0.122,0.77,0.731,0.713,-1.798
ALB,2009,0.122,0.77,0.731,0.713,-1.798
ALB,2010,0.122,0.77,0.731,0.713,-1.798
ALB,2011,0.122,0.415,0.731,0.713,-1.798
ALB,2012,0.122,0.415,0.731,0.713,-1.798
ALB,2013,0.122,0.415,0.731,0.786,-1.659
ALB,2014,-0.156,0.116,0.731,0.786,-1.659
ALB,2015,-0.156,0.116,0.731,0.713,-1.779
ALB,2016,-0.156,0.116,0.731,0.713,-1.779
ALB,2017,-0.156,0.116,0.731,0.713,-1.779
ALB,2018,-0.156,0.116,0.731,0.713,-1.779
ALB,2019,-0.156,0.173,0.928,0.794,-1.638
ALB,2020,-0.441,0.173,0.715,0.61,-1.709
ALB,2021,-0.243,0.173,0.715,0.786,-1.709
ALB,2022,-0.243,0.173,0.715,0.786,-1.653
ALB,2023,-0.243,0.173,0.715,0.786,-1.653
ALB,2024,-0.243,0.173,0.715,0.786,-1.653
ALB,2025,-0.122,0.173,0.715,0.786,-1.653
EGY,2000,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2001,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2002,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2003,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2004,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2005,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2006,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2007,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2008,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2009,-1.073,-1.007,-0.464,-1.479,-1.666
EGY,2010,-1.076,-1.007,-0.543,-1.479,-1.666
EGY,2011,-1.472,-1.729,-0.742,-1.569,-2.603
EGY,2012,-1.299,-1.533,-0.742,-1.452,-1.655
EGY,2013,-1.282,-1.533,-0.69,-1.452,-1.953
EGY,2014,-1.282,-0.623,-0.69,-1.452,-1.793
EGY,2015,-1.282,-0.623,-0.701,-1.407,-1.75
EGY,2016,-1.282,-0.623,-0.701,-1.407,-1.75
EGY,2017,-1.282,-0.623,-0.701,-1.407,-1.75
EGY,2018,-1.282,-0.623,-0.701,-0.885,-1.095
EGY,2019,-1.643,-0.623,-0.701,-0.885,-1.095
EGY,2020,-1.643,-0.647,-0.448,-1.058,-1.516
EGY,2021,-1.643,-0.647,-0.241,-1.525,-1.65
EGY,2022,-1.643,-0.647,-0.241,-1.525,-1.65
EGY,2023,-1.643,-0.647,-0.241,-1.525,-1.65
EGY,2024,-1.643,-1.061,-0.241,-1.648,-1.398
EGY,2025,-1.643,-1.061,-0.241,-1.398,-1.398
YEM,2000,-0.347,0.348,0.107,-0.209,-0.071
YEM,2001,-0.347,0.348,0.107,-0.209,-0.071
YEM,2002,-0.347,0.348,0.107,-0.209,-0.071
YEM,2003,-0.347,0.348,0.107,-0.209,-0.071
YEM,2004,-0.347,0.348,0.107,-0.209,-0.071
YEM,2005,-0.347,0.348,0.107,-0.209,-0.071
YEM,2006,-0.347,0.348,0.107,-0.209,-0.071
YEM,2007,-0.347,0.348,0.107,-0.209,-0.071
YEM,2008,-0.347,0.348,0.107,-0.209,-0.071
YEM,2009,-0.347,0.348,0.107,-0.209,-0.071
YEM,2010,-0.838,0.109,-0.601,-0.407,-0.582
YEM,2011,-2.222,-1.576,-1.659,-2.074,-1.741
YEM,2012,-0.397,-1.32,-1.378,-1.071,-1.067
YEM,2013,-0.397,-1.32,-1.378,-1.071,-1.067
YEM,2014,-1.062,-1.918,-1.605,-1.612,-1.882
YEM,2015,-2.481,-2.308,-2.269,-2.562,-2.107
YEM,2016,-2.481,-2.308,-2.269,-2.562,-2.107
YEM,2017,-2.481,-2.308,-2.269,-2.562,-2.107
YEM,2018,-2.481,-2.308,-2.269,-2.562,-2.107
YEM,2019,-2.372,-2.308,-2.124,-2.651,-2.078
YEM,2020,-2.31,-2.527,-2.065,-2.51,-2.184
YEM,2021,-2.31,-2.365,-2.065,-2.316,-2.014
YEM,2022,-2.151,-2.365,-1.905,-2.234,-2.014
YEM,2023,-2.291,-2.365,-1.905,-2.096,-2.014
YEM,2024,-2.033,-2.217,-1.905,-1.976,-1.972
YEM,2025,-2.033,-2.217,-1.905,-1.976,-1.972
COL,2000,-0.806,-0.948,-0.922,-0.804,-1.007
COL,2001,-0.806,-0.948,-0.922,-0.804,-1.007
COL,2002,-0.806,-0.948,-0.922,-0.804,-1.007
COL,2003,-0.806,-0.948,-0.922,-0.804,-1.007
COL,2004,-0.806,-0.948,-0.922,-0.804,-1.007
COL,2005,-0.806,-0.948,-0.922,-0.804,-1.007
COL,2006,-0.806,-0.948,-0.922,-0.804,-1.007
COL,2007,-0.93,-0.948,-0.922,-0.558,-1.007
COL,2008,-0.93,-0.948,-0.922,-0.558,-1.007
COL,2009,-0.93,-0.948,-0.922,-0.558,-1.007
COL,2010,-0.223,-0.948,-0.922,-0.558,-1.007
COL,2011,-0.009,-0.948,-0.922,0.175,-1.007
COL,2012,-0.009,-0.948,-0.922,0.175,-1.007
COL,2013,-0.009,-0.948,-0.922,0.175,-1.007
COL,2014,-0.009,-0.948,-0.922,0.175,-1.007
COL,2015,-0.009,-0.948,-0.95,0.175,-1.007
COL,2016,-0.009,-0.948,-0.95,0.175,-1.007
COL,2017,-0.009,-0.666,-0.642,0.175,-0.791
COL,2018,-0.315,-0.76,-0.7,0.081,-0.859
COL,2019,-1.484,-1.189,-1.643,-1.231,-1.336
COL,2020,-1.035,-0.954,-1.037,-1.033,-1.233
COL,2021,-1.217,-1.419,-1.429,-1.077,-1.884
COL,2022,-0.941,-1.674,-1.094,-0.827,-1.398
COL,2023,-1.205,-1.365,-1.094,-1.499,-1.398
COL,2024,-1.205,-1.365,-1.094,-1.499,-1.398
COL,2025,-1.494,-1.704,-1.124,-1.041,-1.398
POL,2000,2.307,2.99,1.96,2.722,2.957
POL,2001,2.307,2.99,1.96,2.722,2.68
POL,2002,2.307,2.421,1.96,2.722,2.68
POL,2003,2.307,2.421,1.96,2.722,2.68
POL,2004,2.307,2.421,1.96,2.722,2.68
POL,2005,2.307,2.061,1.883,2.288,2.062
POL,2006,2.307,2.061,1.883,2.147,2.253
POL,2007,2.682,2.061,1.357,2.147,2.075
POL,2008,2.682,2.061,1.862,2.402,2.258
POL,2009,2.682,2.061,1.862,2.402,2.258
POL,2010,2.682,2.061,1.636,2.402,2.258
POL,2011,2.682,2.061,1.636,2.402,2.058
POL,2012,2.682,2.061,1.636,2.402,2.272
POL,2013,2.682,2.061,1.636,2.402,2.272
POL,2014,2.682,2.061,1.54,2.402,2.272
POL,2015,0.547,1.42,1.162,1.307,1.927
POL,2016,-0.594,0.801,1.221,0.992,1.887
POL,2017,-0.594,0.801,1.221,0.992,1.887
POL,2018,-0.594,0.801,1.221,0.992,1.887
POL,2019,-0.594,0.801,1.221,0.914,1.531
POL,2020,-0.674,0.801,1.072,0.707,1.531
POL,2021,-0.964,0.193,1.072,0.225,1.531
POL,2022,-0.964,0.316,-0.184,0.225,1.531
POL,2023,-1.093,0.091,0.055,0.225,1.531
POL,2024,1.712,0.76,-0.868,2.227,1.565
POL,2025,1.949,0.694,-0.951,2.227,1.441
BRA,2000,1.089,2.387,0.955,1.046,0.546
BRA,2001,1.089,2.387,0.955,1.046,0.546
BRA,2002,1.089,2.387,0.955,1.046,0.546
BRA,2003,1.762,2.387,0.955,1.767,0.546
BRA,2004,1.762,2.387,0.955,1.767,0.546
BRA,2005,1.762,2.387,0.955,1.767,0.546
BRA,2006,1.762,2.387,0.955,1.767,0.546
BRA,2007,1.762,2.387,0.955,1.767,0.546
BRA,2008,1.762,2.3,0.955,1.767,0.252
BRA,2009,1.762,2.3,0.955,1.767,0.252
BRA,2010,1.397,1.753,0.562,1.341,0.069
BRA,2011,1.397,1.629,0.562,1.341,-0.412
BRA,2012,1.301,1.398,0.49,1.221,-0.501
BRA,2013,1.301,1.398,0.49,1.221,-0.501
BRA,2014,1.301,1.398,0.279,1.221,-0.501
BRA,2015,1.634,1.28,0.279,1.221,-0.501
BRA,2016,-0.226,0.268,0.199,0.254,-1.235
BRA,2017,-0.226,0.219,0.199,0.254,-1.413
BRA,2018,-1.009,-0.215,-0.049,-0.327,-1.62
BRA,2019,-2.244,-1.599,-0.049,-2.013,-2.253
BRA,2020,-2.521,-1.599,-0.049,-2.1,-2.181
BRA,2021,-2.521,-1.114,-0.444,-2.291,-2.187
BRA,2022,-3.023,-1.782,-1.104,-2.344,-2.463
BRA,2023,1.645,0.326,0.349,1.932,-0.027
BRA,2024,0.925,0.143,-0.957,0.55,-0.027
BRA,2025,1.882,0.143,1.204,1.75,-0.507
USA,2000,2.269,1.797,-0.462,0.323,1.908
USA,2001,2.159,1.845,-0.462,0.261,1.908
USA,2002,2.284,1.811,-0.7,0.313,1.908
USA,2003,2.153,1.811,-0.498,0.262,1.782
USA,2004,2.153,1.811,-0.498,0.262,1.782
USA,2005,2.332,1.812,-0.498,0.318,1.825
USA,2006,2.332,1.812,-0.498,0.318,1.825
USA,2007,2.332,1.812,-0.498,0.318,1.825
USA,2008,2.332,1.688,-0.498,0.318,1.73
USA,2009,2.6,1.747,-0.498,0.318,1.784
USA,2010,2.015,1.398,-0.698,0.165,1.784
USA,2011,2.015,1.361,-0.698,0.165,1.756
USA,2012,2.015,1.361,-0.756,0.165,1.756
USA,2013,2.015,1.404,-0.584,0.165,1.81
USA,2014,2.015,1.404,-0.584,0.165,1.76
USA,2015,1.549,1.353,-0.826,0.165,1.174
USA,2016,1.09,0.995,-1.692,0.111,0.971
USA,2017,0.523,0.995,-1.72,-0.13,0.971
USA,2018,0.523,0.995,-1.72,-0.13,0.971
USA,2019,0.374,0.787,-1.911,-0.229,0.315
USA,2020,0.374,0.809,-1.766,0.055,0.305
USA,2021,0.597,0.593,-2.006,0.119,0.332
USA,2022,1.041,0.743,-2.006,-0.035,0.332
USA,2023,1.173,0.661,-2.006,0.2,0.332
USA,2024,1.173,0.661,-2.006,0.2,0.332
USA,2025,-0.664,0.955,-2.006,-0.754,0.332
PRT,2000,2.446,2.692,3.049,2.557,2.279
PRT,2001,2.446,2.692,3.049,2.557,2.279
PRT,2002,2.446,2.692,3.049,2.557,2.279
PRT,2003,2.446,2.692,3.049,2.557,2.279
PRT,2004,2.446,2.692,3.049,2.557,2.279
PRT,2005,2.446,2.692,3.049,2.557,2.279
PRT,2006,2.446,2.692,3.049,2.557,2.279
PRT,2007,2.446,2.692,3.049,2.557,2.279
PRT,2008,2.446,2.692,3.049,2.557,2.279
PRT,2009,2.446,2.692,3.049,2.557,2.279
PRT,2010,2.446,2.692,3.049,2.557,2.279
PRT,2011,2.446,2.692,3.049,2.557,2.279
PRT,2012,2.446,2.692,3.049,2.557,2.279
PRT,2013,2.446,2.692,3.049,2.557,2.279
PRT,2014,2.446,2.692,3.049,2.557,2.279
PRT,2015,2.446,2.692,3.049,2.557,2.279
PRT,2016,2.446,2.692,3.049,2.557,2.279
PRT,2017,2.446,2.692,3.049,2.557,2.279
PRT,2018,2.446,2.692,3.049,2.557,2.279
PRT,2019,1.582,2.184,1.705,1.808,1.712
PRT,2020,2.227,1.957,2.666,2.431,1.712
PRT,2021,2.04,2.433,2.666,2.431,1.712
PRT,2022,1.822,2.433,2.666,2.1,1.403
PRT,2023,2.068,2.774,2.666,2.1,1.403
PRT,2024,2.001,2.957,2.666,2.274,2.215
PRT,2025,2.001,2.957,2.666,2.274,1.213
SLV,2000,-0.338,0.757,1.8,0.172,-0.116
SLV,2001,-0.338,0.757,1.8,0.172,-0.116
SLV,2002,-0.338,0.757,1.8,0.172,-0.116
SLV,2003,-0.338,0.757,1.8,0.172,-0.116
SLV,2004,-0.338,0.757,1.8,0.172,-0.116
