phi,M,branch,stable
0.0,0.579357512634044,low,True
0.01,0.5783472657137326,low,True
0.02,0.5772325557483037,low,True
0.03,0.5759962577099129,low,True
0.04,0.5746172906058117,low,True
0.05,0.5730694113128264,low,True
0.06,0.5713195435127233,low,True
0.07,0.5693254225823191,low,True
0.08,0.5670322147802811,low,True
0.09,0.5643675683282693,low,True
0.1,0.5612342215881986,low,True
0.11,0.5574987438840456,low,True
0.12,0.5529741022359463,low,True
0.13,0.5473924780177944,low,True
0.14,0.5403636163646629,low,True
0.15,0.5313162714770214,low,True
0.16,0.5194399730192618,low,True
0.17,0.503722992492085,low,True
0.18,0.48335128493974044,low,True
0.19,0.45862630699809853,low,True
0.2,0.43141340278930596,low,True
0.21,0.403991524040224,low,True
0.22,0.3778038226895739,low,True
0.23,0.35339862718100457,low,True
0.24,0.33084532043259995,low,True
0.25,0.3100295501571594,low,True
0.26,0.2907874404040269,low,True
0.27,0.2729560402702888,low,True
0.28,0.2563891784172363,low,True
0.29,0.24096037451961427,low,True
0.29,0.6761026567516442,middle,False
0.29,0.7538850351366719,high,True
0.3,0.22656135997551163,low,True
0.3,0.661685096750302,middle,False
0.3,0.7795315578304878,high,True
0.31,0.21309942996328035,low,True
0.31,0.652892577193348,middle,False
0.31,0.7987195729226652,high,True
0.32,0.2004947767439387,low,True
0.32,0.646624683020072,middle,False
0.32,0.814630900355391,high,True
0.33,0.1886781637198271,low,True
0.33,0.6418294202372777,middle,False
0.33,0.8283877707005431,high,True
0.34,0.17758900691065696,low,True
0.34,0.6380023002323398,middle,False
0.34,0.8405556986999645,high,True
0.35000000000000003,0.16717383013620943,low,True
0.35000000000000003,0.6348583439223525,middle,False
0.35000000000000003,0.851473065836873,high,True
0.36,0.15738503325470166,low,True
0.36,0.6322199418212745,middle,False
0.36,0.8613645355684114,high,True
0.37,0.14817991258191798,low,True
0.37,0.6299688136735487,middle,False
0.37,0.8703901175965435,high,True
0.38,0.13951988086056782,low,True
0.38,0.6280223095428458,middle,False
0.38,0.8786696911680526,high,True
0.39,0.13136984393772652,low,True
0.39,0.6263205186663527,middle,False
0.39,0.8862965632857822,high,True
0.4,0.1236977002274272,low,True
0.4,0.6248187333574788,middle,False
0.4,0.893345547923291,high,True
0.41000000000000003,0.11647393643849968,low,True
0.41000000000000003,0.623482792088965,middle,False
0.41000000000000003,0.8998780681815451,high,True
0.42,0.10967129894211017,low,True
0.42,0.6222860718912431,middle,False
0.42,0.9059455315223957,high,True
0.43,0.10326452475515534,low,True
0.43,0.6212074746954968,middle,False
0.43,0.9115916492035967,high,True
0.44,0.09723011967658957,low,True
0.44,0.6202300380808092,middle,False
0.44,0.9168540817275078,high,True
0.45,0.09154617386097828,low,True
0.45,0.6193399521303544,middle,False
0.45,0.9217656381922431,high,True
0.46,0.08619220723361243,low,True
0.46,0.6185258483159382,middle,False
0.46,0.9263551711601947,high,True
0.47000000000000003,0.08114903879081758,low,True
0.47000000000000003,0.6177782752758528,middle,False
0.47000000000000003,0.9306482581254429,high,True
0.48,0.07639867510052582,low,True
0.48,0.6170893058594643,middle,False
0.48,0.9346677299248212,high,True
0.49,0.07192421430761237,low,True
0.49,0.6164522381741756,middle,False
0.49,0.9384340871207906,high,True
0.5,0.0677097627211606,low,True
0.5,0.6158613651170187,middle,False
0.5,0.9419658328928091,high,True
0.51,0.06374036166622152,low,True
0.51,0.6153117945730192,middle,False
0.51,0.9452797426897376,high,True
0.52,0.06000192275846011,low,True
0.52,0.6147993076202322,middle,False
0.52,0.9483910852775956,high,True
0.53,0.05648117013503127,low,True
0.53,0.6143202456039095,middle,False
0.53,0.9513138059297374,high,True
0.54,0.0531655884712524,low,True
0.54,0.6138714193903739,middle,False
0.54,0.9540606797681583,high,True
0.55,0.05004337584704973,low,True
0.55,0.6134500358397075,middle,False
0.55,0.9566434413040051,high,True
0.56,0.04710340071300316,low,True
0.56,0.6130536377745117,middle,False
0.56,0.9590728948007725,high,True
0.5700000000000001,0.044335162353278924,low,True
0.5700000000000001,0.6126800546206377,middle,False
0.5700000000000001,0.9613590090345134,high,True
0.58,0.04172875435988533,low,True
0.58,0.6123273615559554,middle,False
0.58,0.9635109992431978,high,True
0.59,0.039274830725765174,low,True
0.59,0.611993845493653,middle,False
0.59,0.9655373984675493,high,True
0.6,0.03696457423824201,low,True
0.6,0.6116779765946567,middle,False
0.6,0.9674461200362773,high,True
0.61,0.03478966691314953,low,True
0.61,0.6113783842827056,middle,False
0.61,0.96924451260286,high,True
0.62,0.03274226225672904,low,True
0.62,0.6110938369489036,middle,False
0.62,0.9709394088725878,high,True
0.63,0.030814959179533193,low,True
0.63,0.6108232246970156,middle,False
0.63,0.9725371689484006,high,True
0.64,0.02900077741609909,low,True
0.64,0.61056554460854,middle,False
0.64,0.974043719058202,high,True
0.65,0.027293134327608833,low,True
0.65,0.6103198881066223,middle,False
0.65,0.9754645862944239,high,True
0.66,0.02568582298340197,low,True
0.66,0.6100854300766947,middle,False
0.66,0.9768049298910254,high,True
0.67,0.024172991432030923,low,True
0.67,0.609861419464261,middle,False
0.67,0.9780695694779467,high,True
0.68,0.022749123084360483,low,True
0.68,0.6096471711201641,middle,False
0.68,0.9792630106839556,high,True
0.6900000000000001,0.02140901814063448,low,True
0.6900000000000001,0.6094420587037372,middle,False
0.6900000000000001,0.9803894684024027,high,True
0.7000000000000001,0.020147776000983282,low,True
0.7000000000000001,0.609245508486589,middle,False
0.7000000000000001,0.9814528879880712,high,True
0.71,0.018960778604911143,low,True
0.71,0.6090569939260164,middle,False
0.71,0.9824569646150184,high,True
0.72,0.017843674650226495,low,True
0.72,0.6088760308984448,middle,False
0.72,0.9834051609935188,high,True
0.73,0.01679236464588958,low,True
0.73,0.6087021735008262,middle,False
0.73,0.9843007236176429,high,True
0.74,0.015802986756564216,low,True
0.74,0.6085350103423632,middle,False
0.74,0.9851466976927242,high,True
0.75,0.014871903399438271,low,True
0.75,0.6083741612608514,middle,False
0.75,0.9859459408731351,high,True
0.76,0.013995688556218995,low,True
0.76,0.6082192744078373,middle,False
0.76,0.9867011359248462,high,True
0.77,0.01317111576524579,low,True
0.77,0.608070023655029,middle,False
0.77,0.9874148024136395,high,True
0.78,0.012395146760434865,low,True
0.78,0.6079261062813075,middle,False
0.78,0.9880893075082097,high,True
0.79,0.011664920725364647,low,True
0.79,0.6077872409054653,middle,False
0.79,0.9887268759773788,high,True
0.8,0.010977744132250134,low,True
0.8,0.6076531656346807,middle,False
0.8,0.989329599452001,high,True
0.81,0.010331081136883316,low,True
0.81,0.6075236364028613,middle,False
0.81,0.9898994450146421,high,True
0.8200000000000001,0.00972254450186043,low,True
0.8200000000000001,0.6073984254764696,middle,False
0.8200000000000001,0.9904382631735863,high,True
0.8300000000000001,0.009149887021592487,low,True
0.8300000000000001,0.6072773201084333,middle,False
0.8300000000000001,0.9909477952720109,high,True
0.84,0.008610993423707714,low,True
0.84,0.6071601213232584,middle,False
0.84,0.9914296803781683,high,True
0.85,0.008103872722534898,low,True
0.85,0.6070466428186395,middle,False
0.85,0.991885461697995,high,True
0.86,0.007626651001388032,low,True
0.86,0.6069367099707188,middle,False
0.86,0.9923165925476716,high,True
0.87,0.0071775646013764165,low,True
0.87,0.6068301589317375,middle,False
0.87,0.9927244419202002,high,True
0.88,0.006754953695435811,low,True
0.88,0.6067268358102087,middle,False
0.88,0.9931102996769895,high,True
0.89,0.0063572562272194155,low,True
0.89,0.6066265959249223,middle,False
0.89,0.9934753813926965,high,True
0.9,0.0059830021954051646,low,True
0.9,0.6065293031251303,middle,False
0.9,0.9938208328791143,high,True
0.91,0.0056308082648648065,low,True
0.91,0.6064348291701506,middle,False
0.91,0.9941477344116996,high,True
0.92,0.005299372687003395,low,True
0.92,0.6063430531624128,middle,False
0.92,0.9944571046803498,high,True
