kappa,scenario,D
0.0,baseline,0.3010860334732604
0.0,high,2.7242799618504456
0.0,resilient,-0.790206239234259
0.02,baseline,0.26343142080903775
0.02,high,2.4159179394859462
0.02,resilient,-0.7243905293195959
0.04,baseline,0.2318820885180182
0.04,high,2.154023690670525
0.04,resilient,-0.6661160322909156
0.06,baseline,0.20528075628016249
0.06,high,1.9302356295249636
0.06,resilient,-0.6143206395098427
0.08,baseline,0.18271516245631556
0.08,high,1.737897796653249
0.08,resilient,-0.5681164600918486
0.1,baseline,0.16346155409380006
0.1,high,1.5716770201693209
0.1,resilient,-0.5267576148875096
0.15,baseline,0.12629959876452018
0.15,high,1.2441202002667087
0.15,resilient,-0.44065938809049565
