channel,h,var,coef,se,p,n,countries,cov_M_F
G,-2,M_z,-1.1769463324373093,0.5426837552150412,0.03207424500690467,1734,121,0.008059160062069578
G,-2,MxW_F,-0.1463720696444262,0.2534666462850228,0.5646967800400162,1734,121,0.008059160062069578
G,-2,MxW_T,-0.5970559959754831,0.5661041100927088,0.2936927371904274,1734,121,0.008059160062069578
G,-2,MxW_I,-0.8173911021512803,0.371434402613514,0.029676291625594053,1734,121,0.008059160062069578
G,-2,W_F,-0.8182235618630156,0.5444044897065831,0.1354739535053837,1734,121,0.008059160062069578
G,-2,W_T,5.045528988185352,0.9287516445698731,2.9543269371255553e-07,1734,121,0.008059160062069578
G,-2,W_I,-0.2542521551393028,0.5358742246946927,0.6360324943142626,1734,121,0.008059160062069578
G,-2,infl_z,0.2582243520066714,0.28288171928598976,0.36315961092916393,1734,121,0.008059160062069578
G,-2,gov_eff_z,-1.8388033488007693,1.2659661858595868,0.1489751755020937,1734,121,0.008059160062069578
G,-2,lgdp_pc,12.601974108624987,2.737359403667227,1.0396520587541845e-05,1734,121,0.008059160062069578
G,-1,M_z,-0.7323151359918829,0.32992892283141184,0.028324073448214006,1735,121,-0.005738286197898936
G,-1,MxW_F,-0.16473339186982264,0.21388693987098717,0.4427013276482563,1735,121,-0.005738286197898936
G,-1,MxW_T,-0.5508853348646638,0.3313487347088016,0.09901157119976774,1735,121,-0.005738286197898936
G,-1,MxW_I,-0.6334374851879759,0.22908814462742202,0.006591286842356172,1735,121,-0.005738286197898936
G,-1,W_F,-0.2164161031153567,0.319481935122547,0.4994579994917349,1735,121,-0.005738286197898936
G,-1,W_T,2.6398318654393838,0.5344009003192703,2.558807824167951e-06,1735,121,-0.005738286197898936
G,-1,W_I,-0.33792765804158476,0.33538372321598486,0.3156810618806787,1735,121,-0.005738286197898936
G,-1,infl_z,-0.26784412253178624,0.22898423641191773,0.24443753005141364,1735,121,-0.005738286197898936
G,-1,gov_eff_z,-1.324277698393799,0.7855988328424607,0.09445373899957675,1735,121,-0.005738286197898936
G,-1,lgdp_pc,7.6687372277605625,1.6347383964064988,7.262170084478229e-06,1735,121,-0.005738286197898936
G,0,M_z,-0.9484690685348175,0.34536436972643547,0.00695599676025012,1735,121,-0.006565660064470291
G,0,MxW_F,-0.139791991231072,0.1736003631982774,0.4222671127364208,1735,121,-0.006565660064470291
G,0,MxW_T,-0.04489622050510894,0.3355490894912894,0.8937854451469734,1735,121,-0.006565660064470291
G,0,MxW_I,-0.339889162254727,0.2673573053637841,0.20608349800508988,1735,121,-0.006565660064470291
G,0,W_F,0.7312939218873244,0.2657149212674434,0.006839525080606007,1735,121,-0.006565660064470291
G,0,W_T,2.3790675340470764,0.5556655342972069,3.760011524947825e-05,1735,121,-0.006565660064470291
G,0,W_I,0.12901769126088225,0.3769314673182377,0.7327357823276411,1735,121,-0.006565660064470291
G,0,infl_z,-1.0701882006688201,0.34062083022311074,0.002114765925529589,1735,121,-0.006565660064470291
G,0,gov_eff_z,-1.527290748459329,0.604023273139763,0.012752141664480533,1735,121,-0.006565660064470291
G,0,growth_lag,-0.016411391391669493,0.06138920426071704,0.7896713015617352,1735,121,-0.006565660064470291
G,0,lgdp_pc,9.04088705565268,2.0384978317211138,2.052437568633402e-05,1735,121,-0.006565660064470291
G,1,M_z,-1.4827595783506633,0.5422460739127906,0.0071949576033709115,1642,121,-0.01914718982197676
G,1,MxW_F,-0.4504867397809841,0.2097536817681495,0.03374874386651048,1642,121,-0.01914718982197676
