channel,h,var,coef,se,p,n,countries,cov_M_F,specification
G,1,M_z,-0.7528237367192032,0.5232313679441096,0.15281122539346245,1094,121,-0.034568686749886626,no_fill
G,1,MxW_F,-0.4225686898300174,0.19315069075702043,0.030624594497890116,1094,121,-0.034568686749886626,no_fill
G,1,MxW_T,-0.07028521671652821,0.6905391484221841,0.919098717776778,1094,121,-0.034568686749886626,no_fill
G,1,MxW_I,-0.40711946813159916,0.444573444405915,0.36163305285605113,1094,121,-0.034568686749886626,no_fill
G,1,W_F,1.1081148676411121,0.22736749272421297,3.387421401243959e-06,1094,121,-0.034568686749886626,no_fill
G,1,W_T,5.727774733808184,1.5070961030114898,0.0002282888911627922,1094,121,-0.034568686749886626,no_fill
G,1,W_I,1.3466513073099429,0.6518110285402722,0.04097935546814922,1094,121,-0.034568686749886626,no_fill
G,1,infl_z,-1.6374117051703077,0.5207179186683364,0.0020971538734642723,1094,121,-0.034568686749886626,no_fill
G,1,gov_eff_z,-4.183600042748627,1.0520039629915514,0.00011985404101067657,1094,121,-0.034568686749886626,no_fill
G,1,growth_lag,0.07956368779150716,0.078743898712501,0.3143315284554202,1094,121,-0.034568686749886626,no_fill
G,1,lgdp_pc,4.487067217872217,2.9865945611312035,0.1356201979478906,1094,121,-0.034568686749886626,no_fill
G,2,M_z,-0.44802473665758574,0.74118123149289,0.5466793783602398,1041,120,-0.04233753668891209,no_fill
G,2,MxW_F,-1.0213635441649007,0.2723437546508559,0.0002742756185013753,1041,120,-0.04233753668891209,no_fill
G,2,MxW_T,0.46244235251833277,0.9630098638537811,0.6319630263699774,1041,120,-0.04233753668891209,no_fill
G,2,MxW_I,-0.7569632520192602,0.5856302110095902,0.19866677672411806,1041,120,-0.04233753668891209,no_fill
G,2,W_F,1.364739519005489,0.3532957674770209,0.000182863358152283,1041,120,-0.04233753668891209,no_fill
G,2,W_T,7.908463212097049,2.1424410934156195,0.0003380041826895087,1041,120,-0.04233753668891209,no_fill
G,2,W_I,1.6564173964100106,0.8454235927547475,0.05241905416739203,1041,120,-0.04233753668891209,no_fill
G,2,infl_z,-0.6171505943905964,0.500539431208198,0.2200167295994702,1041,120,-0.04233753668891209,no_fill
G,2,gov_eff_z,-3.5049636846961376,1.236587656552821,0.005395845934110171,1041,120,-0.04233753668891209,no_fill
G,2,growth_lag,0.0414902447041308,0.09541245592051091,0.6644578306223594,1041,120,-0.04233753668891209,no_fill
G,2,lgdp_pc,-5.797937291038975,3.895962309589336,0.1393456624079903,1041,120,-0.04233753668891209,no_fill
N,1,M_z,0.4098583695685974,2.064465775745089,0.8429903497915665,1054,113,0.046669587465158716,no_fill
N,1,MxW_F,-1.9882331691844508,1.2253959708088018,0.10750302218113762,1054,113,0.046669587465158716,no_fill
N,1,MxW_T,1.0743104627264655,1.7640313376387957,0.5437519886780915,1054,113,0.046669587465158716,no_fill
N,1,MxW_I,-2.423264491894601,1.3590481696223857,0.0772854079970372,1054,113,0.046669587465158716,no_fill
N,1,W_F,4.821323124584257,0.8621374766445578,1.6033035792756855e-07,1054,113,0.046669587465158716,no_fill
N,1,W_T,11.476547749396339,5.078997997769507,0.02578001822000412,1054,113,0.046669587465158716,no_fill
N,1,W_I,1.9556153660706015,2.4514171983446746,0.4267043600878265,1054,113,0.046669587465158716,no_fill
N,1,infl_z,-1.4563550413888804,1.0823060731010108,0.18114815777723947,1054,113,0.046669587465158716,no_fill
N,1,gov_eff_z,-3.828383658995471,3.811519509879134,0.3173391611384951,1054,113,0.046669587465158716,no_fill
N,1,growth_lag,0.5675416629989206,0.43392869442223203,0.19358043824262414,1054,113,0.046669587465158716,no_fill
N,1,lgdp_pc,-0.5272130923897596,12.06982657579432,0.9652370594184843,1054,113,0.046669587465158716,no_fill
N,1,outcome_lag,-0.14053531996538188,0.10216747525831191,0.17170933645699749,1054,113,0.046669587465158716,no_fill
N,2,M_z,2.377359892346534,2.581183442225463,0.3590118852819645,1001,113,0.21727248805460986,no_fill
N,2,MxW_F,-2.5424185964439783,1.7444983644604193,0.14780626635442062,1001,113,0.21727248805460986,no_fill
N,2,MxW_T,0.1772853884311566,2.9775544370121887,0.9526276344919903,1001,113,0.21727248805460986,no_fill
N,2,MxW_I,-4.891171541552805,2.3514261757910577,0.03979907697658431,1001,113,0.21727248805460986,no_fill
N,2,W_F,6.6724304158929275,1.7581768156398911,0.00023992557125296975,1001,113,0.21727248805460986,no_fill
N,2,W_T,16.163035940383768,6.564585071335633,0.015334200953061709,1001,113,0.21727248805460986,no_fill
N,2,W_I,4.76664026964792,3.441309847062011,0.16876727728974103,1001,113,0.21727248805460986,no_fill
N,2,infl_z,1.339732547185691,1.481070556262174,0.3676346985869068,1001,113,0.21727248805460986,no_fill
N,2,gov_eff_z,-1.301845278999497,5.3636982036473135,0.8086707975499774,1001,113,0.21727248805460986,no_fill
N,2,growth_lag,0.20813321977669097,0.32723838706225616,0.526054878453247,1001,113,0.21727248805460986,no_fill
N,2,lgdp_pc,-27.295163315187278,16.99054683471571,0.11098181907726858,1001,113,0.21727248805460986,no_fill
N,2,outcome_lag,-0.16608186132276687,0.05703711770554189,0.004337299035487786,1001,113,0.21727248805460986,no_fill
I,1,M_z,-0.13203760564369227,0.2360373352903818,0.5775384682488786,868,77,0.0003826363775332247,no_fill
I,1,MxW_F,0.14395093760165975,0.08952355769253105,0.1119891135662004,868,77,0.0003826363775332247,no_fill
I,1,MxW_T,-0.1633422675734062,0.2910744973594358,0.5763325996284684,868,77,0.0003826363775332247,no_fill
I,1,MxW_I,-0.052990826694468446,0.17516660116982824,0.7630845947879155,868,77,0.0003826363775332247,no_fill
I,1,W_F,0.013085862169219718,0.15096708305900944,0.9311536567635482,868,77,0.0003826363775332247,no_fill
I,1,W_T,0.04374848850494384,0.44167990943690766,0.9213591985437001,868,77,0.0003826363775332247,no_fill
I,1,W_I,-3.8853259429010683,0.18677439060983697,4.154885712077353e-33,868,77,0.0003826363775332247,no_fill
I,1,infl_z,0.0405241585079793,0.11995926391224453,0.736433185422429,868,77,0.0003826363775332247,no_fill
I,1,gov_eff_z,-0.014916809958301358,0.5173931539923312,0.9770751855994086,868,77,0.0003826363775332247,no_fill
I,1,growth_lag,0.013363337486045497,0.01957732808216544,0.4969397316841855,868,77,0.0003826363775332247,no_fill
I,1,lgdp_pc,-0.174839504338387,1.4844480466135286,0.9065520559801648,868,77,0.0003826363775332247,no_fill
I,2,M_z,-0.22367660579337978,0.3305121061741148,0.5006697561190576,786,75,-0.006905050116269685,no_fill
I,2,MxW_F,0.18720905786089728,0.11395946318390725,0.10467368664023653,786,75,-0.006905050116269685,no_fill
I,2,MxW_T,-0.17281930336260848,0.36862889200882665,0.640579020682553,786,75,-0.006905050116269685,no_fill
I,2,MxW_I,-0.007002095563476446,0.23187323782455946,0.975990483855666,786,75,-0.006905050116269685,no_fill
I,2,W_F,-0.026555715290228543,0.17580200844974994,0.8803436106196161,786,75,-0.006905050116269685,no_fill
I,2,W_T,-0.3305501986576199,0.571188821907874,0.5645450885882578,786,75,-0.006905050116269685,no_fill
I,2,W_I,-4.132440593004821,0.7678838973309956,8.323595443431035e-07,786,75,-0.006905050116269685,no_fill
I,2,infl_z,0.12182226134279589,0.15007019528476886,0.4195280283137515,786,75,-0.006905050116269685,no_fill
I,2,gov_eff_z,-0.14062012381255434,0.6733019914496251,0.8351380089272287,786,75,-0.006905050116269685,no_fill
I,2,growth_lag,-0.041680358224874856,0.022791122490830377,0.07145919582443903,786,75,-0.006905050116269685,no_fill
I,2,lgdp_pc,0.03534117999265274,1.882855332416963,0.985075109857909,786,75,-0.006905050116269685,no_fill
T,1,M_z,-1.7263549163702234,1.8956789819657311,0.3643530620636746,1057,117,-0.44214809057631077,no_fill
T,1,MxW_F,-0.40130422707209246,0.5103076995666941,0.433238754248915,1057,117,-0.44214809057631077,no_fill
T,1,MxW_T,-4.725429729216247,2.2322100566200116,0.0364027288903183,1057,117,-0.44214809057631077,no_fill
T,1,MxW_I,-2.1719052909988217,1.558909337917682,0.1662169760761957,1057,117,-0.44214809057631077,no_fill
T,1,W_F,1.9614300983450548,0.6752523421580665,0.004402361257427675,1057,117,-0.44214809057631077,no_fill
T,1,W_T,-5.729186479854409,2.9880868587084,0.05765363408873306,1057,117,-0.44214809057631077,no_fill
T,1,W_I,2.554542606380551,2.9908380663105376,0.39479746221086853,1057,117,-0.44214809057631077,no_fill
T,1,infl_z,-0.5487301892409456,0.8626733470291201,0.5259766128374077,1057,117,-0.44214809057631077,no_fill
T,1,gov_eff_z,-3.347609593894627,2.619798046262313,0.20386694298925445,1057,117,-0.44214809057631077,no_fill
T,1,growth_lag,-0.11698973836695975,0.18829885857079018,0.5356224699108832,1057,117,-0.44214809057631077,no_fill
T,1,lgdp_pc,1.1333143342478458,8.422835741468992,0.8931988136572906,1057,117,-0.44214809057631077,no_fill
T,1,outcome_lag,-0.16363714460662618,0.07043225248822213,0.02190371552976159,1057,117,-0.44214809057631077,no_fill
T,2,M_z,-1.855408610715955,2.3294130704024094,0.42736087277501833,1005,117,-0.7376711767968729,no_fill
T,2,MxW_F,-1.3752173025308196,0.6863861010913516,0.04744772948818436,1005,117,-0.7376711767968729,no_fill
T,2,MxW_T,-5.25070642926328,2.894978745147774,0.07230457351005853,1005,117,-0.7376711767968729,no_fill
T,2,MxW_I,-2.948278583620975,1.9552741837238652,0.13430922763652733,1005,117,-0.7376711767968729,no_fill
T,2,W_F,1.669686505995199,0.9267280257651753,0.0741899018421434,1005,117,-0.7376711767968729,no_fill
T,2,W_T,-7.524654192774454,3.9400650674238022,0.05863119130442819,1005,117,-0.7376711767968729,no_fill
